Duration(s),SkillName,BagName,IsValid,FailReason,Operator,Size(MB),Station,Start_Time,SkillCode
136.27,Close bags with twist ties,SKILL_018_20260202_143143,True,BAD_HZ /pika_pose_r (0.0/100.0) | BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0) | BAD_HZ /pika_pose_l (0.0/100.0),d_vargas,5041.64,2,2026-02-02T14:31:43Z,SKILL_018
250.56,Set up a hand lamp,SKILL_013_20260202_140020,True,BAD_HZ /pika_pose_l (0.0/100.0) | BAD_HZ /pika_pose_r (0.0/100.0) | BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0),d_vargas,9112.52,2,2026-02-02T14:00:20Z,SKILL_013
166.51,Set up a hand lamp,SKILL_013_20260202_135301,True,BAD_HZ /pika_pose_r (0.0/100.0) | BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0) | BAD_HZ /pika_pose_l (0.0/100.0),d_vargas,6053.3,2,2026-02-02T13:53:01Z,SKILL_013
228.19,Organize screwdriver bits,SKILL_003_20260202_140616,True,BAD_HZ /pika_pose_r (0.0/100.0) | BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0) | BAD_HZ /pika_pose_l (0.0/100.0),d_vargas,8252.25,2,2026-02-02T14:06:16Z,SKILL_003
183.23,Close bags with twist ties,SKILL_018_20260203_121321,True,BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),c_becerra,6673.73,1,2026-02-03T12:13:21Z,SKILL_018
168.96,Close bags with twist ties,SKILL_018_20260203_120941,True,BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),c_becerra,6169.07,1,2026-02-03T12:09:41Z,SKILL_018
137.23,Close bags with twist ties,SKILL_018_20260203_142948,True,BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),n_mora,5435.68,1,2026-02-03T14:29:48Z,SKILL_018
134.45,Close bags with twist ties,SKILL_018_20260203_142504,True,BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0) | BAD_HZ /pika_pose_l (44.8/100.0),n_mora,5366.5,1,2026-02-03T14:25:04Z,SKILL_018
42.87,Organize beads per character,SKILL_002_20260203_094343,False,TOO_SHORT (42.9s < 90.0s) | BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),d_vargas,1581.33,2,2026-02-03T09:43:43Z,SKILL_002
96.89,Organize beads per character,SKILL_002_20260203_094200,True,BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),d_vargas,3560.46,2,2026-02-03T09:42:00Z,SKILL_002
583.34,Organize beads per color,SKILL_001_20260203_070524,True,BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0),d_vargas,21592.68,2,2026-02-03T07:05:24Z,SKILL_001
104.05,Organize beads per character,SKILL_002_20260203_094633,True,BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),d_vargas,3832.53,2,2026-02-03T09:46:33Z,SKILL_002
71.08,Organize beads per character,SKILL_002_20260203_094454,False,TOO_SHORT (71.1s < 90.0s) | BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),d_vargas,2618.3,2,2026-02-03T09:44:54Z,SKILL_002
82.26,Organize beads per character,SKILL_002_20260203_095018,False,TOO_SHORT (82.2s < 90.0s) | BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),d_vargas,3019.59,2,2026-02-03T09:50:18Z,SKILL_002
53.87,Organize beads per character,SKILL_002_20260203_094859,False,TOO_SHORT (53.9s < 90.0s) | BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),d_vargas,1998.43,2,2026-02-03T09:48:59Z,SKILL_002
108.32,Set Screwdriver package,SKILL_004_20260203_073244,True,BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0) | BAD_HZ /pika_pose_l (45.9/100.0),d_vargas,4008.17,2,2026-02-03T07:32:44Z,SKILL_004
144.17,Set Screwdriver package,SKILL_004_20260203_072953,True,BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0),d_vargas,5358.12,2,2026-02-03T07:29:53Z,SKILL_004
249.19,Organize screwdriver bits,SKILL_003_20260203_071651,True,BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0),d_vargas,8972.24,2,2026-02-03T07:16:51Z,SKILL_003
8.73,Organize screwdriver bits,SKILL_003_20260203_071626,False,TOO_SHORT (8.7s < 90.0s) | BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0),d_vargas,317.16,2,2026-02-03T07:16:26Z,SKILL_003
4.92,Set up a hand lamp,SKILL_013_20260203_074726,False,TOO_SHORT (5.2s < 90.0s) | BAD_HZ /gripper_l/data (100.1/120.0) | BAD_HZ /pika_pose_r (72.9/100.0) | BAD_HZ /gripper_r/data (99.7/120.0) | BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0),d_vargas,195.93,2,2026-02-03T07:47:26Z,SKILL_013
113.1,Put pasta in jars,SKILL_012_20260203_085446,True,BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),d_vargas,4065.8,2,2026-02-03T08:54:46Z,SKILL_012
182.24,Put pasta in jars,SKILL_012_20260203_085116,True,BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),d_vargas,6480.26,2,2026-02-03T08:51:16Z,SKILL_012
178.69,Put pasta in jars,SKILL_012_20260203_084740,True,BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),d_vargas,6540.74,2,2026-02-03T08:47:40Z,SKILL_012
44.12,Put pasta in jars,SKILL_012_20260203_084624,False,TOO_SHORT (44.1s < 90.0s) | BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),d_vargas,1592.6,2,2026-02-03T08:46:24Z,SKILL_012
259.22,Package earphones,SKILL_010_20260203_093605,True,BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),d_vargas,9497.17,2,2026-02-03T09:36:05Z,SKILL_010
205.56,Package earphones,SKILL_010_20260203_093144,True,BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),d_vargas,7575.28,2,2026-02-03T09:31:44Z,SKILL_010
312.9,Package Cotton set,SKILL_009_20260203_090448,True,BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0),d_vargas,11372.01,2,2026-02-03T09:04:48Z,SKILL_009
11.41,Package earphones,SKILL_010_20260203_093110,False,TOO_SHORT (11.4s < 90.0s) | BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),d_vargas,424.75,2,2026-02-03T09:31:10Z,SKILL_010
111.91,Insert allen keys in package,SKILL_005_20260203_083001,True,BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),d_vargas,3997.54,2,2026-02-03T08:30:01Z,SKILL_005
186.26,Insert allen keys in package,SKILL_005_20260203_082235,True,BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0),d_vargas,6659.51,2,2026-02-03T08:22:35Z,SKILL_005
194.32,Insert allen keys in package,SKILL_005_20260203_082614,True,BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),d_vargas,7135.26,2,2026-02-03T08:26:14Z,SKILL_005
204.17,Put pasta in plastic containers,SKILL_019_20260204_142222,True,BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0) | BAD_HZ /pika_pose_r (84.0/100.0),n_mora,7415.84,1,2026-02-04T14:22:22Z,SKILL_019
199.32,Put pasta in plastic containers,SKILL_019_20260204_141604,True,BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),n_mora,7341.28,1,2026-02-04T14:16:04Z,SKILL_019
84.46,Open locks with their keys,SKILL_020_20260203_081943,False,TOO_SHORT (84.5s < 90.0s) | BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0),d_vargas,3108.24,2,2026-02-03T08:19:43Z,SKILL_020
122.88,Open locks with their keys,SKILL_020_20260203_081623,True,BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0),d_vargas,4484.47,2,2026-02-03T08:16:23Z,SKILL_020
109.85,Open locks with their keys,SKILL_020_20260203_081312,True,BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0),d_vargas,3993.52,2,2026-02-03T08:13:12Z,SKILL_020
96.77,Open locks with their keys,SKILL_020_20260203_081022,True,BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0),d_vargas,3547.62,2,2026-02-03T08:10:22Z,SKILL_020
3.6,Open locks with their keys,SKILL_020_20260203_080942,False,TOO_SHORT (3.9s < 90.0s) | BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0),d_vargas,145.9,2,2026-02-03T08:09:43Z,SKILL_020
306.61,Put pasta in plastic containers,SKILL_019_20260203_083832,True,BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),d_vargas,10789.68,2,2026-02-03T08:38:32Z,SKILL_019
282.58,Put pasta in plastic containers,SKILL_019_20260203_083249,True,BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),d_vargas,10048.79,2,2026-02-03T08:32:49Z,SKILL_019
