BagName,Station,SkillID,SkillName,Operator,Start_Time,End_Time,Duration(s),Avg_MBps,Integrity,IsValid,Reason,Path
SKILL_014_20260206_144001,03,SKILL_014,Fasten nuts onto bolts,C_BECERRA,2026-02-06T14:40:01Z,2026-02-06T14:48:12Z,491.14,37.04,PASS,TRUE,,/mnt/data00/03/batch_01/SKILL_014_20260206_144001/SKILL_014_20260206_144001_0.mcap
SKILL_018_20260206_140632,03,SKILL_018,Close bags with twist ties,C_BECERRA,2026-02-06T14:06:32Z,2026-02-06T14:09:34Z,182.46,37.67,PASS,TRUE,,/mnt/data00/03/batch_01/SKILL_018_20260206_140632/SKILL_018_20260206_140632_0.mcap
SKILL_018_20260206_141019,03,SKILL_018,Close bags with twist ties,C_BECERRA,2026-02-06T14:10:19Z,2026-02-06T14:13:12Z,173.39,37.44,PASS,TRUE,,/mnt/data00/03/batch_01/SKILL_018_20260206_141019/SKILL_018_20260206_141019_0.mcap
SKILL_018_20260206_141442,03,SKILL_018,Close bags with twist ties,C_BECERRA,2026-02-06T14:14:42Z,2026-02-06T14:18:15Z,212.50,37.58,PASS,TRUE,,/mnt/data00/03/batch_01/SKILL_018_20260206_141442/SKILL_018_20260206_141442_0.mcap
SKILL_023_20260206_141908,03,SKILL_023,Built up box (Present),C_BECERRA,2026-02-06T14:19:08Z,2026-02-06T14:23:00Z,232.32,36.83,PASS,TRUE,,/mnt/data00/03/batch_01/SKILL_023_20260206_141908/SKILL_023_20260206_141908_0.mcap
SKILL_023_20260206_142341,03,SKILL_023,Built up box (Present),C_BECERRA,2026-02-06T14:23:41Z,2026-02-06T14:25:58Z,136.65,36.98,PASS,TRUE,,/mnt/data00/03/batch_01/SKILL_023_20260206_142341/SKILL_023_20260206_142341_0.mcap
SKILL_001_20260206_080532,04,SKILL_001,Organize beads per color,E_MARTINEZ,2026-02-06T08:05:32Z,2026-02-06T08:05:36Z,4.21,36.76,PASS,FALSE,TOO_SHORT (4.2s),/mnt/data00/04/batch_01/SKILL_001_20260206_080532/SKILL_001_20260206_080532_0.mcap
SKILL_023_20260206_142632,03,SKILL_023,Built up box (Present),C_BECERRA,2026-02-06T14:26:32Z,2026-02-06T14:28:10Z,98.64,36.93,PASS,TRUE,,/mnt/data00/03/batch_01/SKILL_023_20260206_142632/SKILL_023_20260206_142632_0.mcap
SKILL_001_20260206_080552,04,SKILL_001,Organize beads per color,E_MARTINEZ,2026-02-06T08:05:52Z,2026-02-06T08:13:10Z,438.04,36.99,PASS,TRUE,,/mnt/data00/04/batch_01/SKILL_001_20260206_080552/SKILL_001_20260206_080552_0.mcap
SKILL_001_20260206_110123,04,SKILL_001,Organize beads per color,D_VARGAS,2026-02-06T11:01:23Z,2026-02-06T11:01:27Z,4.09,36.04,PASS,FALSE,TOO_SHORT (4.1s),/mnt/data00/04/batch_01/SKILL_001_20260206_110123/SKILL_001_20260206_110123_0.mcap
