Start_Time,Station,Operator,BagName,Duration(s),Size(MB),IsValid,SkillCode,SkillName,FailReason
2026-01-21T14:33:44Z,02,c_becerra,SKILL_024_20260121_143344,167.54,735.21,FALSE,SKILL_024,Put hooks on shower courtain,MISSING_CRIT /camera_r/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/depth/image_rect_raw
2026-01-21T08:59:12Z,03,n_mora,SKILL_012_20260121_085912,1.00,1.11,FALSE,SKILL_012,Put pasta in jars,TOO_SHORT (0.5s < 90.0s) | MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /camera_r/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw
2026-01-21T13:17:27Z,03,n_mora,SKILL_001_20260121_131727,577.22,3029.49,FALSE,SKILL_001,Organize beads per color,MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /camera_r/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw
2026-01-21T09:00:59Z,03,n_mora,SKILL_013_20260121_090059,72.56,357.19,FALSE,SKILL_013,Set up a hand lamp,TOO_SHORT (71.4s < 90.0s) | MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /camera_r/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw
2026-01-21T13:28:50Z,03,n_mora,SKILL_001_20260121_132850,385.73,1744.09,FALSE,SKILL_001,Organize beads per color,MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/depth/image_rect_raw | BAD_HZ /pika_pose_l (71.1/100.0) | MISSING_CRIT /camera_r/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg
2026-01-21T09:02:25Z,03,n_mora,SKILL_013_20260121_090225,5.07,22.61,FALSE,SKILL_013,Set up a hand lamp,TOO_SHORT (3.7s < 90.0s) | MISSING_CRIT /camera_r/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw | BAD_HZ /gripper_l/data (92.9/120.0) | MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | BAD_HZ /pika_pose_r (0.0/100.0) | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/depth/image_rect_raw
2026-01-21T13:28:26Z,03,n_mora,SKILL_001_20260121_132826,3.00,18.88,FALSE,SKILL_001,Organize beads per color,TOO_SHORT (2.1s < 90.0s) | BAD_HZ /gripper_r/data (49.6/120.0) | MISSING_CRIT /camera_l/depth/image_rect_raw | BAD_HZ /gripper_l/data (94.8/120.0) | MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /camera_r/ffmpeg
2026-01-21T09:03:53Z,03,n_mora,SKILL_013_20260121_090353,3.84,15.74,FALSE,SKILL_013,Set up a hand lamp,TOO_SHORT (3.2s < 90.0s) | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /camera_r/ffmpeg | BAD_HZ /gripper_r/data (80.8/120.0) | MISSING_CRIT /camera_l/depth/image_rect_raw | BAD_HZ /gripper_l/data (84.0/120.0) | MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | BAD_HZ /pika_pose_r (23.0/100.0)
2026-01-21T14:21:02Z,03,n_mora,SKILL_003_20260121_142102,48.87,228.01,FALSE,SKILL_003,Organize screwdriver bits,TOO_SHORT (48.2s < 90.0s) | MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/depth/image_rect_raw | BAD_HZ /pika_pose_l (54.4/100.0) | MISSING_CRIT /camera_r/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw
2026-01-21T09:09:26Z,03,n_mora,SKILL_013_20260121_090926,102.32,453.38,FALSE,SKILL_013,Set up a hand lamp,MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | BAD_HZ /pika_pose_r (0.0/100.0) | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/depth/image_rect_raw | BAD_HZ /pika_pose_l (0.0/100.0) | MISSING_CRIT /camera_r/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw
