Duration(s),StartTime,Operator,IsValid,FailReason,Station,SkillName
82.239949525,2026-02-03T09:50:18.209Z,d_vargas,False,TOO_SHORT (82.2s < 90.0s) | BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),2,Organize beads per character
8.713794003,2026-02-03T07:16:26.245Z,d_vargas,False,TOO_SHORT (8.7s < 90.0s) | BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0),2,Organize screwdriver bits
249.167523426,2026-02-03T07:16:51.521Z,d_vargas,True,BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0),2,Organize screwdriver bits
144.459208415,2026-02-03T07:29:53.927Z,d_vargas,True,BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0),2,Set Screwdriver package
108.310860205,2026-02-03T07:32:44.042Z,d_vargas,True,BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0) | BAD_HZ /pika_pose_l (45.9/100.0),2,Set Screwdriver package
186.255308679,2026-02-03T08:22:35.039Z,d_vargas,True,BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0),2,Insert allen keys in package
194.315414822,2026-02-03T08:26:14.929Z,d_vargas,True,BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),2,Insert allen keys in package
111.911045188,2026-02-03T08:30:01.781Z,d_vargas,True,BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),2,Insert allen keys in package
312.858210784,2026-02-03T09:04:48.537Z,d_vargas,True,BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0),2,Package Cotton set
11.406856019,2026-02-03T09:31:10.499Z,d_vargas,False,TOO_SHORT (11.4s < 90.0s) | BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),2,Package earphones
205.539396634,2026-02-03T09:31:44.499Z,d_vargas,True,BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),2,Package earphones
259.19812231,2026-02-03T09:36:05.168Z,d_vargas,True,BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),2,Package earphones
44.117824754,2026-02-03T08:46:24.365Z,d_vargas,False,TOO_SHORT (44.1s < 90.0s) | BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),2,Put pasta in jars
178.678897423,2026-02-03T08:47:40.552Z,d_vargas,True,BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),2,Put pasta in jars
182.2184014,2026-02-03T08:51:16.409Z,d_vargas,True,BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),2,Put pasta in jars
113.090347411,2026-02-03T08:54:46.690Z,d_vargas,True,BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),2,Put pasta in jars
5.174091962,2026-02-03T07:47:26.949Z,d_vargas,False,TOO_SHORT (5.2s < 90.0s) | BAD_HZ /gripper_l/data (100.1/120.0) | BAD_HZ /pika_pose_r (72.9/100.0) | BAD_HZ /gripper_r/data (99.7/120.0) | BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0),2,Set up a hand lamp
122.030691764,2026-02-03T07:51:13.074Z,d_vargas,True,BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0),2,Set up a hand lamp
117.852837977,2026-02-03T07:54:11.558Z,d_vargas,True,BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0),2,Set up a hand lamp
105.655973153,2026-02-03T07:56:45.821Z,d_vargas,True,BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0),2,Set up a hand lamp
